                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4492,                 1.9326,                 1.2584,                 0.0139,                0.45202,                0.00967,                0.00496,                 1.7429,                    inf,                 1.5055,             0.00066487,             0.00066487,             0.00066487
                      2,                  1.567,                 1.8025,                  1.347,                0.40574,                0.35893,                0.28861,                0.16473,                  1.581,                 2.1373,                 1.3764,              0.0012437,              0.0012437,              0.0012437
                      3,                 1.5488,                 1.7684,                 1.3431,                 0.4942,                0.37976,                0.36718,                0.22175,                  1.472,                 1.7526,                 1.2889,              0.0017344,              0.0017344,              0.0017344
                      4,                  1.452,                 1.6219,                  1.285,                0.53644,                0.41747,                0.41748,                0.26006,                 1.3621,                 1.5911,                 1.2399,               0.001604,               0.001604,               0.001604
                      5,                 1.3845,                 1.5236,                 1.2484,                 0.5769,                0.44674,                0.46747,                 0.2918,                 1.3466,                 1.4857,                  1.212,               0.001472,               0.001472,               0.001472
                      6,                 1.3838,                  1.546,                 1.2617,                0.55847,                0.44246,                0.44277,                0.28526,                  1.305,                 1.6534,                 1.2356,                0.00134,                0.00134,                0.00134
                      7,                 1.3288,                 1.4741,                 1.2318,                0.58406,                0.43618,                0.47022,                0.30651,                 1.2886,                 1.3766,                 1.1961,               0.001208,               0.001208,               0.001208
                      8,                 1.2896,                 1.4094,                 1.2051,                0.59245,                0.46353,                0.48085,                0.32003,                  1.268,                 1.3851,                 1.1817,               0.001076,               0.001076,               0.001076
                      9,                 1.2548,                 1.3418,                 1.1785,                0.62928,                0.47169,                0.51878,                0.34683,                  1.226,                 1.3186,                 1.1606,               0.000944,               0.000944,               0.000944
                     10,                  1.193,                  1.248,                 1.1487,                0.64315,                0.49555,                 0.5381,                0.36006,                 1.2068,                 1.2545,                 1.1535,               0.000812,               0.000812,               0.000812
                     11,                 1.1596,                 1.1946,                 1.1289,                0.66764,                0.47793,                0.53744,                0.36971,                 1.1604,                 1.2163,                 1.1172,                0.00068,                0.00068,                0.00068
                     12,                 1.1257,                 1.1486,                 1.1137,                0.67645,                0.50288,                0.55409,                0.38694,                 1.1166,                 1.1835,                 1.0961,               0.000548,               0.000548,               0.000548
                     13,                 1.0826,                  1.073,                 1.0835,                0.67397,                0.52639,                0.57245,                0.40244,                 1.1071,                 1.1031,                 1.0912,               0.000416,               0.000416,               0.000416
                     14,                 1.0588,                 1.0341,                 1.0736,                0.70833,                0.52543,                0.58958,                0.41912,                 1.0585,                 1.0702,                 1.0626,               0.000284,               0.000284,               0.000284
                     15,                 1.0223,                0.97684,                 1.0536,                0.70446,                0.52843,                0.59532,                0.42426,                 1.0415,                 1.0431,                 1.0591,               0.000152,               0.000152,               0.000152
